"veh_value","exposure","veh_body","veh_age","gender","area","agecat","anomaly"
1.66,0.4845995893,"SEDAN",3,"M","B",6,0
1.51,0.9938398357,"SEDAN",3,"F","F",4,0
0.76,0.5393566051,"HBACK",3,"M","C",4,0
1.89,0.6543463381,"STNWG",3,"M","F",2,0
4.06,0.8514715948,"STNWG",2,"M","F",3,0
1.39,0.3175906913,"HBACK",3,"F","A",4,0
2.66,0.3175906913,"STNWG",1,"F","F",5,0
0.5,0.0711841205,"HBACK",4,"F","A",5,1
1.16,0.5968514716,"STNWG",4,"F","B",2,0
3.56,0.9062286105,"MCARA",3,"M","F",4,0
2.15,0.6543463381,"SEDAN",3,"F","A",5,1
3.03,0.9034907598,"TRUCK",1,"M","C",1,1
2.41,0.3394934976,"STNWG",3,"M","E",1,0
1.72,0.6160164271,"STNWG",2,"F","A",6,0
1.92,0.6160164271,"STNWG",4,"M","A",5,0
2.649,0.257357974,"TRUCK",1,"M","A",1,0
1.86,0.6160164271,"SEDAN",2,"F","C",3,0
1.54,0.6160164271,"STNWG",2,"F","B",3,1
1.88,0.7501711157,"PANVN",3,"M","D",3,0
0.89,0.6844626968,"SEDAN",3,"F","D",3,0
4.46,0.1916495551,"COUPE",2,"M","B",2,0
4.32,0.6461327858,"STNWG",2,"M","A",5,0
5.59,0.8514715948,"STNWG",1,"M","C",3,0
1.44,0.6652977413,"UTE",4,"M","F",2,0
2.81,0.8514715948,"STNWG",1,"M","C",3,0
3,0.6132785763,"STNWG",3,"F","C",2,0
2.29,0.3531827515,"STNWG",4,"F","F",4,0
0.39,0.925393566,"SEDAN",4,"F","C",6,0
1.29,0.925393566,"SEDAN",3,"M","D",3,1
1.13,0.3778234086,"SEDAN",4,"F","B",1,0
0,0.9993155373,"STNWG",4,"M","A",3,0
2.41,0.7501711157,"HBACK",1,"F","B",3,0
3.47,0.2464065708,"SEDAN",1,"M","B",3,0
3.14,0.8514715948,"TRUCK",3,"M","C",1,0
1.98,0.9117043121,"STNWG",4,"M","C",6,0
3.3,0.9062286105,"STNWG",2,"M","A",5,0
